BTC_PRICE,COUNT,MEAN,MEDIAN,SUM
7893.31,2509,0.16,0.19,406.95
7788.91,2621,0.15,0.19,402.34
7887.93,2685,0.12,0.14,309.29
7801.38,3032,0.13,0.15,394.64
7735.92,3093,0.14,0.17,435.25
7736.11,3257,0.13,0.14,416.15
7787.42,3064,0.13,0.14,402.61
7721.73,3225,0.15,0.17,470.52
7748.59,2798,0.13,0.17,363.19
7847.06,2892,0.15,0.17,434.54
7860.29,2673,0.16,0.16,418.76
7832.94,2547,0.16,0.18,397.5
7877.45,2141,0.12,0.15,248.63
7935.5,2081,0.14,0.17,300.37
7938.96,1589,0.14,0.17,228.81
7899.99,1869,0.13,0.15,238.7
7859,1531,0.12,0.14,179.34
7906.39,1624,0.18,0.2,284.44
7932.91,1524,0.19,0.21,292.21
7935.86,1396,0.18,0.2,246.01
7922.77,1520,0.18,0.22,280.2
7900.66,1845,0.21,0.25,394.28
7904.99,1997,0.22,0.2,440.97
7889.88,2084,0.14,0.17,294.36
8034.99,2581,0.2,0.22,520.58
8070.92,2140,0.17,0.18,362.59
8146.64,2493,0.18,0.2,449.03
8067.25,2984,0.21,0.24,614.83
8041.07,2464,0.19,0.24,470.72
7742.27,2747,0.16,0.2,447.15
7849,2417,0.17,0.2,422.37
7871,2082,0.19,0.23,387.41
7873.72,2134,0.19,0.21,402.17
7983.65,2062,0.18,0.2,366.65
7993.39,2089,0.23,0.26,487.18
7964.99,1760,0.15,0.18,263.35
7959.13,1609,0.2,0.24,319.92
7889.77,1379,0.2,0.25,280.56
7946.51,1388,0.19,0.22,258.3
7930.88,1524,0.2,0.2,298.85
7905,1281,0.22,0.23,275.97
7924.02,1343,0.23,0.25,313.51
7907.6,1402,0.25,0.28,349.7
7854.96,1544,0.21,0.25,329.9
7833.49,2017,0.24,0.25,484.93
7865.98,1754,0.22,0.24,385.82
7834.91,1838,0.23,0.25,430.16
7829.99,1746,0.23,0.25,406.46
7837.99,1895,0.23,0.25,440.67
7831.84,2082,0.26,0.27,535.42
7849.36,2078,0.24,0.26,493.59
7855.2,2291,0.22,0.2,498.51
7800,2401,0.24,0.25,574.71
7781.06,2713,0.26,0.28,693.04
7764.43,2392,0.24,0.26,566.9
7666.67,2320,0.23,0.26,543.7
